newspaper,date,candidate,scores,color
SF Gate,20121003,obama,0.109651,008f7e
SF Gate,20121003,romney,0.096923,008f7e
SF Gate,20121003,obama,0.097788,008f7e
SF Gate,20121003,romney,0.107821,008f7e
SF Gate,20121003,obama,0.141659,008f7e
SF Gate,20121003,romney,0.203346,008f7e
SF Gate,20121004,obama,0.0338004,008f7e
SF Gate,20121004,romney,0.0400052,008f7e
SF Gate,20121004,obama,0.0884076,008f7e
SF Gate,20121004,romney,0.107243,008f7e
SF Gate,20121005,obama,0.105856,008f7e
SF Gate,20121005,romney,0.061341,008f7e
SF Gate,20121005,obama,0.325936,008f7e
SF Gate,20121005,romney,0.0316642,008f7e
SF Gate,20121006,obama,0.104856,008f7e
SF Gate,20121006,romney,-0.19659,008f7e
SF Gate,20121007,obama,0.71074,008f7e
SF Gate,20121007,romney,-0.02659,008f7e
SF Gate,20121007,obama,0.162252,008f7e
SF Gate,20121007,romney,0.181191,008f7e
SF Gate,20121008,obama,0.105856,008f7e
SF Gate,20121008,romney,0.061341,008f7e
SF Gate,20121009,obama,0.303435,008f7e
SF Gate,20121009,romney,-0.0263737,008f7e
SF Gate,20121010,obama,0.316000,008f7e
SF Gate,20121010,romney,-0.013456,008f7e
SF Gate,20121011,obama,0.12670,008f7e
SF Gate,20121011,romney,0.032292,008f7e
SF Gate,20121011,obama,0.048942,008f7e
SF Gate,20121011,romney,0.038883,008f7e
SF Gate,20121012,obama,0.117733,008f7e
SF Gate,20121012,romney,0.246794,008f7e
SF Gate,20121012,obama,0.136626,008f7e
SF Gate,20121012,romney,0.284892,008f7e
SF Gate,20121013,obama,0.287075,008f7e
SF Gate,20121013,romney,0.0368585,008f7e
SF Gate,20121014,obama,-0.00771036,008f7e
SF Gate,20121014,romney,0.0412213,008f7e
SF Gate,20121015,obama,0.0552308,008f7e
SF Gate,20121015,romney,0.0926359,008f7e
SF Gate,20121015,obama,0.0456234,008f7e
SF Gate,20121015,romney,-0.0271672,008f7e
SF Gate,20121016,obama,0.0696628,008f7e
SF Gate,20121016,romney,0.0787638,008f7e
SF Gate,20121016,obama,0.0523399,008f7e
SF Gate,20121016,romney,0.131543,008f7e
SF Gate,20121016,obama,0.00255229,008f7e
SF Gate,20121016,romney,-0.0837718,008f7e
SF Gate,20121017,obama,0.23829,008f7e
SF Gate,20121017,romney,0.157506,008f7e
SF Gate,20121017,obama,0.344005,008f7e
SF Gate,20121017,romney,0.129951,008f7e
SF Gate,20121018,obama,-0.25899,008f7e
SF Gate,20121018,romney,-0.0722203,008f7e
SF Gate,20121018,obama,0.270923,008f7e
SF Gate,20121018,romney,0.198247,008f7e
SF Gate,20121018,obama,0.0400857,008f7e
SF Gate,20121018,romney,0.0109595,008f7e
SF Gate,20121019,obama,0.0420857,008f7e
SF Gate,20121019,romney,0.0018575,008f7e
SF Gate,20121019,obama,0.254591,008f7e
SF Gate,20121019,romney,0.125048,008f7e
SF Gate,20121020,obama,0.010491,008f7e
SF Gate,20121020,romney,0.145681,008f7e
SF Gate,20121020,obama,-0.35033,008f7e
SF Gate,20121020,romney,-0.0863988,008f7e
SF Gate,20121021,obama,0.0822756,008f7e
SF Gate,20121021,romney,0.416589,008f7e
SF Gate,20121021,obama,0.157861,008f7e
SF Gate,20121021,romney,-0.109595,008f7e
SF Gate,20121022,obama,0.0569298,008f7e
SF Gate,20121022,romney,0.0738643,008f7e
SF Gate,20121022,obama,0.0569298,008f7e
SF Gate,20121022,romney,0.0738643,008f7e
SF Gate,20121023,obama,0.117899,008f7e
SF Gate,20121023,romney,0.0533916,008f7e
SF Gate,20121023,obama,0.167935,008f7e
SF Gate,20121023,romney,0.190963,008f7e
SF Gate,20121024,obama,0.0686934,008f7e
SF Gate,20121024,romney,0.047892,008f7e
SF Gate,20121025,obama,0.0369211,008f7e
SF Gate,20121025,romney,0.0452832,008f7e
SF Gate,20121026,obama,0.303417,008f7e
SF Gate,20121026,romney,0.0352823,008f7e
SF Gate,20121027,obama,0.267835,008f7e
SF Gate,20121027,romney,0.092343,008f7e
SF Gate,20121028,obama,0.0884076,008f7e
SF Gate,20121028,romney,0.116646,008f7e
SF Gate,20121029,obama,0.0582367,008f7e
SF Gate,20121029,romney,0.133453,008f7e
SF Gate,20121030,obama,0.203083,008f7e
SF Gate,20121030,romney,0.178993,008f7e
SF Gate,20121031,obama,0.0880678,008f7e
SF Gate,20121031,romney,0.105216,008f7e
SF Gate,20121101,obama,-0.107204,008f7e
SF Gate,20121101,romney,-0.267284,008f7e
SF Gate,20121102,obama,-0.025251,008f7e
SF Gate,20121102,romney,0.0329015,008f7e
SF Gate,20121103,obama,0.141715,008f7e
SF Gate,20121103,romney,0.086137,008f7e
SF Gate,20121104,obama,0.00912108,008f7e
SF Gate,20121104,romney,-0.0141413,008f7e
SF Gate,20121105,obama,0.291541,008f7e
SF Gate,20121105,romney,0.0318012,008f7e
NY Times,20121003,obama,0.135628,000000
NY Times,20121003,romney,-0.00982572,000000
NY Times,20121003,obama,0.0421578,000000
NY Times,20121003,romney,0.0589993,000000
NY Times,20121004,obama,-0.181762,000000
NY Times,20121004,romney,-0.140425,000000
NY Times,20121004,obama,-0.181762,000000
NY Times,20121004,romney,-0.140425,000000
NY Times,20121004,obama,-0.181762,000000
NY Times,20121004,romney,-0.140425,000000
NY Times,20121004,obama,0.0280915,000000
NY Times,20121004,romney,-0.141018,000000
NY Times,20121005,obama,-0.0924986,000000
NY Times,20121005,romney,-0.15723,000000
NY Times,20121005,obama,-0.0873839,000000
NY Times,20121005,romney,0.0129103,000000
NY Times,20121006,obama,0.012325,000000
NY Times,20121006,romney,-0.00706486,000000
NY Times,20121006,obama,0.374717,000000
NY Times,20121006,romney,0.394265,000000
NY Times,20121007,obama,-0.0776542,000000
NY Times,20121007,romney,-0.0653266,000000
NY Times,20121007,obama,-0.340395,000000
NY Times,20121007,romney,-0.0452576,000000
NY Times,20121008,obama,-0.156896,000000
NY Times,20121008,romney,0.011347,000000
NY Times,20121008,obama,0.362308,000000
NY Times,20121008,romney,0.145973,000000
NY Times,20121009,obama,0.148786,000000
NY Times,20121009,romney,-0.0524772,000000
NY Times,20121009,obama,-0.0104527,000000
NY Times,20121009,romney,-0.38728,000000
NY Times,20121010,obama,0.0517875,000000
NY Times,20121010,romney,0.06225,000000
NY Times,20121010,obama,0.44893,000000
NY Times,20121010,romney,0.088101,000000
NY Times,20121011,obama,0.0208815,000000
NY Times,20121011,romney,-0.00843131,000000
NY Times,20121011,obama,0.176215,000000
NY Times,20121011,romney,-0.0144138,000000
NY Times,20121012,obama,0.203732,000000
NY Times,20121012,romney,-0.00111351,000000
